,Year ?,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
ODI,2023,24,"1,377","1,389",19,72.5,99.1,166,8,6,122,24,42
ODI,2022,11,302,347,11,27.5,87,113,2,1,32,2,48.1
ODI,2021,3,129,149,3,43,86.6,66,2,0,10,1,41.6
ODI,2020,9,431,467,9,47.9,92.3,89,5,0,35,5,41.1
ODI,2019,25,"1,377","1,429",23,59.9,96.4,123,7,5,133,8,41.8
ODI,2018,14,"1,202","1,172",9,133.6,102.6,160,3,6,123,13,41.7
ODI,2017,26,"1,460","1,473",19,76.8,99.1,131,7,6,136,22,42.8
ODI,2016,10,739,739,8,92.4,100,154,4,3,62,8,40.2
ODI,2015,20,623,773,17,36.6,80.6,138,1,2,44,8,49
ODI,2014,20,"1,054","1,058",18,58.6,99.6,139,5,4,94,20,43.6
ODI,2013,30,"1,268","1,300",24,52.8,97.5,115,7,4,138,20,48.1
ODI,2012,17,"1,026","1,094",15,68.4,93.8,183,3,5,92,7,43.6
ODI,2011,34,"1,381","1,614",29,47.6,85.6,117,8,4,127,7,46.8
ODI,2010,23,995,"1,169",20,49.8,85.1,118,7,3,90,4,48.3
ODI,2009,8,325,385,6,54.2,84.4,107,2,1,36,3,51.7
ODI,2008,5,159,239,5,31.8,66.5,54,1,0,21,1,71.5
ODI,Total,289,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Year ?,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
TEST,2011,9,202,473,9,22.4,42.7,63,2,0,15,2,72.1
TEST,2012,16,689,"1,474",14,49.2,46.7,116,3,3,89,2,77.9
TEST,2013,12,616,"1,127",11,56,54.7,119,3,2,73,2,70.9
TEST,2014,20,847,"1,399",19,44.6,60.5,169,2,4,101,2,69.4
TEST,2015,15,640,"1,184",15,42.7,54.1,147,2,2,74,1,72
TEST,2016,18,"1,215","2,011",16,75.9,60.4,235,2,4,134,2,65.1
TEST,2017,16,"1,059","1,389",14,75.6,76.2,243,1,5,98,6,54.2
TEST,2018,24,"1,307","2,414",24,54.5,54.1,153,5,5,142,2,70.5
TEST,2019,11,608,967,9,67.6,62.9,254,2,2,78,3,68.4
TEST,2020,6,116,283,6,19.3,41,74,1,0,15,0,79.9
TEST,2021,19,536,"1,216",19,28.2,44.1,72,4,0,60,1,77.1
TEST,2022,11,265,672,10,26.5,39.4,79,1,0,33,1,79.2
TEST,2023,12,671,"1,226",12,55.9,54.7,186,2,2,70,1,68.6
TEST,2024,19,417,673,17,24.5,62,100,1,1,43,5,67
TEST,2025,2,23,81,2,11.5,28.4,17,0,0,1,0,84
,,210,,,,,,,,,,,
,,,,,,,,,,,,,
T20,Year ?,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
T20,2008,12,165,157,11,15,105.1,38,0,0,18,4,45.2
T20,2009,17,325,270,14,23.2,120.4,50,1,0,34,8,38.5
T20,2010,18,446,305,14,31.9,146.2,58,1,0,39,17,28.5
T20,2011,26,850,671,21,40.5,126.7,84,6,0,88,26,38.2
T20,2012,28,835,681,25,33.4,122.6,78,6,0,90,17,34.9
T20,2013,17,663,479,15,44.2,138.4,99,6,0,66,23,35.7
T20,2014,21,744,582,17,43.8,127.8,77,7,0,56,27,31.6
T20,2015,18,549,414,13,42.2,132.6,82,3,0,36,26,34.1
T20,2016,29,"1,614","1,097",18,89.7,147.1,113,14,4,154,47,27.5
T20,2017,20,607,448,18,33.7,135.5,82,6,0,55,19,30.8
T20,2018,23,741,554,18,41.2,133.8,92,5,0,62,26,32.3
T20,2019,24,930,643,20,46.5,144.6,100,7,1,75,36,26.4
T20,2020,24,761,592,19,40.1,128.5,90,4,0,41,21,24.2
T20,2021,23,704,564,18,39.1,124.8,80,7,0,68,19,34.4
T20,2022,36,"1,122",859,29,38.7,130.6,122,10,1,98,34,32.5
T20,2023,14,639,457,12,53.2,139.8,101,6,2,65,16,28.4
T20,2024,25,921,630,22,41.9,146.2,113,6,1,75,45,33
,Total,375,12616,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
